Time,Q1,Q1_low,Q1_high,Q2,Q2_low,Q2_high
2021/01/22 3:06:14 PM GMT,550,480,570,370,320,390
2021/01/22 3:06:45 PM GMT,800,322,1200,600,268,800
2021/01/22 3:07:46 PM GMT,900,700,1100,650,450,850
2021/01/22 3:08:27 PM GMT,1100,500,2000,1100,500,2000
2021/01/22 3:09:34 PM GMT,750,600,900,550,400,700
2021/01/22 3:40:56 PM GMT,600,500,1000,1100,600,1350
2021/01/22 3:56:27 PM GMT,500,400,600,500,400,600
2021/01/22 4:11:29 PM GMT,1000,800,1200,800,500,1000
2021/01/22 4:46:26 PM GMT,522,500,650,468,450,600
2021/01/22 4:47:54 PM GMT,500,600,400,300,350,250
2021/01/22 4:48:14 PM GMT,500,400,600,400,300,500
2021/01/22 4:50:30 PM GMT,750,700,850,525,475,600
2021/01/22 5:03:48 PM GMT,725,600,900,430,390,580
2021/01/22 5:16:33 PM GMT,1200,1000,1400,1300,1100,1500
2021/01/22 5:29:34 PM GMT,500,250,750,310,200,400
2021/01/22 5:55:19 PM GMT,1000,300,1500,700,200,1200
2021/01/22 6:04:13 PM GMT,900,700,1200,850,600,1200
2021/01/22 6:08:15 PM GMT,930,820,1050,1120,990,1280
2021/01/22 6:13:05 PM GMT,1050,900,1200,1080,990,1200
2021/01/22 6:27:49 PM GMT,1750,1350,2000,1950,1550,2450
2021/01/22 6:31:20 PM GMT,550,300,600,330,150,430
2021/01/22 7:00:30 PM GMT,500,400,600,350,300,400
2021/01/22 8:05:27 PM GMT,732,500,1000,609,500,750
2021/01/22 9:29:31 PM GMT,800,600,1000,400,300,800
2021/01/23 7:35:00 AM GMT,800,700,900,550,400,700
2021/01/23 8:11:21 AM GMT,732,500,1000,609,500,750
2021/01/23 9:00:09 AM GMT,522,422,622,68,0,168
2021/01/23 9:17:43 AM GMT,1100,900,1300,1250,1050,1450
2021/01/23 9:46:58 AM GMT,560,500,600,400,350,450
2021/01/23 4:05:20 PM GMT,715,600,850,610,500,750
2021/01/24 11:46:51 AM GMT,1100,800,1300,1200,900,1300
2021/01/24 5:58:21 PM GMT,800,500,1400,600,300,900
2021/01/24 10:43:44 PM GMT,1500,1000,2000,1200,800,1600
2021/01/25 6:32:41 AM GMT,1200,1000,1400,1200,1000,1400
2021/01/25 9:26:51 AM GMT,600,550,650,550,500,600
2021/01/25 12:03:42 PM GMT,750,650,900,600,500,700
